"Model","RMSE_log","MAE_log","R2_log","RMSE_usd","MAE_usd","R2_usd"
"Multiple linear regression (full)",0.588347219234658,0.424714159242763,0.344802376146561,43694.9768081009,34352.3223747504,0.483830928731438
"Multiple linear regression (stepwise)",0.58798431948422,0.424473554496918,0.34561039466477,43680.7198552218,34341.4395856183,0.48416770875075
"Power-transformed OLS (salary^0.26)",0.590861084143162,0.426133050117872,0.339191413627252,42877.4157265783,34069.2867967256,0.502965933785143
"Ridge regression",0.579756498078467,0.417408766218828,0.363796354209527,42280.4264363453,33071.7694241093,0.516710155113004
"LASSO regression",0.58341174567076,0.420307325389653,0.355748793901633,42334.2305789918,33283.1554218991,0.515479347239937
"Elastic net regression",0.583302856067763,0.420552015576189,0.355989261159537,42350.6857240721,33294.0193572354,0.515102611580149
