Model,Threshold,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic (Task 5 spec),0.5,0.672566371681416,0.5,0.5405405405405406,0.5194805194805194,0.7110597439544808
Logistic (Task 5 spec),0.2675657377778604,0.6548672566371682,0.4782608695652174,0.5945945945945946,0.5301204819277109,0.7110597439544808
Random forest classifier,0.5,0.6902654867256637,0.5277777777777778,0.5135135135135135,0.5205479452054794,0.7251066856330014
Random forest classifier,0.23056994818652848,0.672566371681416,0.5,0.6486486486486487,0.5647058823529412,0.7251066856330014
