"model","RMSE_log","MAE_log","R2_log","RMSE_usd","MAE_usd","R2_usd"
"Random Forest regression",0.482105897952888,0.339681419706318,0.560063705445266,40848.0987672728,30081.8690187369,0.548900187157083
"Random Forest regression",0.482105897952888,0.339681419706318,0.560063705445266,40848.0987672728,30081.8690187369,0.548900187157083
"Ridge regression",0.579756498078467,0.417408766218828,0.363796354209527,42644.027359396,34793.806319783,0.508362073403621
"Power-transformed OLS (salary^0.26)",0.580105857469617,0.420485333373214,0.363029374669749,42810.1302276027,34627.445083723,0.504524653879783
"Elastic net regression",0.583302856067763,0.420552015576189,0.355989261159537,43385.1121337135,35386.7242635743,0.491125837817444
"LASSO regression",0.58341174567076,0.420307325389653,0.355748793901633,43463.9433440976,35394.4787659168,0.489274898220646
"Multiple linear regression - stepwise",0.58798431948422,0.424473554496918,0.34561039466477,45473.9757558911,36532.4568027116,0.440944655498134
"Polynomial regression",0.588347219234547,0.424714159242693,0.344802376146807,45498.3911554924,36559.4871386099,0.440344170332898
"Multiple linear regression - full",0.588347219234658,0.424714159242763,0.344802376146561,45498.3911554984,36559.4871386168,0.44034417033275
